gchr	fend	sstart	tag	fgeneid	sgeneid	len1	len2	id	distance	cdis
chr10	516289	516460	Convergent	YJR042W	YJR043C	2235	1053	p3134	171	<=250
chr11	394554	394725	Convergent	YKL023W	YKL022C	834	2523	p3443	171	<=250
chr13	103811	103982	Convergent	YML082W	YML081C-A	1950	180	p4137	171	<=250
chr13	252990	253161	Codirectional-	YML008C	YML007C-A	1152	111	p4211	171	<=250
chr15	56280	56451	Codirectional+	YOL142W	YOL141W	723	2088	p4980	171	<=250
chr15	442553	442724	Convergent	YOR061W	YOR062C	1020	807	p5185	171	<=250
chr5	192624	192796	Divergent	YER018C	YER019W	666	1434	p1536	172	<=250
chr7	199037	199209	Convergent	YGL162W	YGL161C	900	933	p1943	172	<=250
chr9	272777	272949	Convergent	YIL045W	YIL044C	1617	897	p2801	172	<=250
chr11	604232	604404	Codirectional-	YKR087C	YKR088C	1038	1014	p3550	172	<=250
chr12	499405	499577	Convergent	YLR167W	YLR168C	459	693	p3810	172	<=250
chr12	930892	931064	Convergent	YLR405W	YLR406C	1104	691	p4029	172	<=250
chr13	856793	856965	Divergent	YMR293C	YMR294W	1395	1122	p4522	172	<=250
chr15	310139	310311	Divergent	YOL009C	YOL008W	816	624	p5114	172	<=250
chr4	1038106	1038279	Convergent	YDR288W	YDR289C	912	1230	p1195	173	<=250
chr4	1077853	1078026	Convergent	YDR307W	YDR308C	1989	423	p1213	173	<=250
chr4	1214842	1215015	Convergent	YDR368W	YDR369C	939	2565	p1276	173	<=250
chr8	451153	451326	Divergent	YHR173C	YHR174W	339	1314	p2621	173	<=250
chr10	470964	471137	Codirectional-	YJR024C	YJR025C	735	534	p3120	173	<=250
chr10	635681	635854	Convergent	YJR110W	YJR111C	2067	852	p3197	173	<=250
chr15	269641	269814	Convergent	YOL030W	YOL029C	1455	606	p5090	173	<=250
chr15	804203	804376	Codirectional+	YOR252W	YOR253W	537	531	p5363	173	<=250
chr6	160360	160534	Codirectional+	YFR007W	YFR008W	1062	666	p1795	174	<=250
chr6	216419	216593	Convergent	YFR030W	YFR031C	3108	3513	p1819	174	<=250
chr10	117787	117961	Convergent	YJL161W	YJL160C	543	864	p2949	174	<=250
chr12	165402	165576	Convergent	YLR007W	YLR008C	1011	507	p3639	174	<=250
chr2	550928	551103	Convergent	YBR155W	YBR156C	1158	2097	p368	175	<=250
chr7	139543	139718	Convergent	YGL195W	YGL194C-A	8019	243	p1912	175	<=250
chr7	350440	350615	Convergent	YGL085W	YGL084C	825	1683	p2015	175	<=250
chr10	106718	106893	Convergent	YJL166W	YJL165C	285	2568	p2944	175	<=250
chr11	599681	599856	Divergent	YKR085C	YKR086W	588	3216	p3548	175	<=250
chr14	476012	476187	Convergent	YNL082W	YNL081C	2622	432	p4795	175	<=250
chr14	609510	609685	Divergent	YNL013C	YNL012W	378	1980	p4864	175	<=250
chr2	685261	685437	Convergent	YBR233W-A	YBR234C	285	1155	p448	176	<=250
chr4	1093586	1093762	Divergent	YDR315C	YDR316W	846	1416	p1221	176	<=250
chr5	324095	324271	Convergent	YER081W	YER082C	1410	1665	p1608	176	<=250
chr7	216096	216272	Divergent	YGL154C	YGL153W	819	1026	p1951	176	<=250
chr9	55021	55197	Divergent	YIL154C	YIL153W	1041	1182	p2694	176	<=250
chr12	990440	990616	Convergent	YLR427W	YLR428C	2013	345	p4053	176	<=250
chr4	1130823	1131000	Codirectional+	YDR331W	YDR332W	1236	2070	p1239	177	<=250
chr5	213898	214075	Convergent	YER030W	YER031C	462	672	p1549	177	<=250
chr7	379582	379759	Convergent	YGL066W	YGL065C	1974	1512	p2031	177	<=250
chr7	641832	642009	Codirectional+	YGR079W	YGR080W	1113	999	p2170	177	<=250
chr9	268473	268650	Codirectional+	YIL046W-A	YIL046W	165	1923	p2799	177	<=250
chr12	434463	434640	Divergent	YLR147C	YLR148W	306	2757	p3775	177	<=250
chr14	549290	549467	Convergent	YNL042W	YNL041C	1191	2520	p4836	177	<=250
chr15	202518	202695	Codirectional-	YOL067C	YOL066C	534	1776	p5055	177	<=250
chr15	474416	474593	Divergent	YOR079C	YOR080W	942	2199	p5203	177	<=250
chr15	811493	811670	Codirectional+	YOR257W	YOR258W	486	654	p5368	177	<=250
chr1	61052	61230	Codirectional-	YAL043C	YAL042C-A	2358	378	p28	178	<=250
chr2	513583	513761	Convergent	YBR137W	YBR138C	540	1575	p350	178	<=250
chr2	675134	675312	Divergent	YBR227C	YBR228W	1563	915	p441	178	<=250
chr2	751177	751355	Convergent	YBR274W	YBR275C	1584	5751	p489	178	<=250
chr4	1108101	1108279	Codirectional-	YDR320C	YDR320C-A	2007	219	p1227	178	<=250
chr6	62837	63015	Convergent	YFL036W	YFL034C-B	4056	978	p1752	178	<=250
chr6	106236	106414	Divergent	YFL016C	YFL015W-A	1536	318	p1773	178	<=250
chr11	570149	570327	Convergent	YKR067W	YKR068C	2232	582	p3530	178	<=250
chr2	645978	646157	Convergent	YBR210W	YBR211C	429	975	p426	179	<=250
chr4	1418370	1418549	Convergent	YDR480W	YDR481C	972	1701	p1380	179	<=250
chr5	79456	79635	Convergent	YEL040W	YEL039C	1404	342	p1477	179	<=250
chr10	81915	82094	Convergent	YJL186W	YJL185C	1761	882	p2927	179	<=250
chr14	707608	707787	Codirectional+	YNR045W	YNR046W	1470	408	p4921	179	<=250
chr15	384420	384599	Divergent	YOR028C	YOR029W	888	336	p5153	179	<=250
chr15	943385	943564	Codirectional-	YOR330C	YOR331C	3765	558	p5440	179	<=250
chr16	694838	695017	Divergent	YPR074C	YPR074W-A	2043	171	p5848	179	<=250
chr4	33234	33414	Convergent	YDL236W	YDL235C	939	504	p693	180	<=250
chr4	332940	333120	Convergent	YDL070W	YDL069C	1917	690	p852	180	<=250
chr4	657467	657647	Codirectional-	YDR101C	YDR102C	1782	333	p1013	180	<=250
chr4	1420250	1420430	Codirectional-	YDR481C	YDR482C	1701	408	p1381	180	<=250
chr7	694403	694583	Convergent	YGR101W	YGR102C	1041	552	p2192	180	<=250
chr7	1043095	1043275	Divergent	YGR274C	YGR275W	3201	474	p2361	180	<=250
chr11	573393	573573	Codirectional+	YKR069W	YKR070W	1782	1059	p3532	180	<=250
chr13	341675	341855	Convergent	YMR035W	YMR036C	534	1665	p4257	180	<=250
chr14	49216	49396	Convergent	YNL312W	YNL311C	930	2292	p4582	180	<=250
chr15	530248	530428	Codirectional+	YOR110W	YOR111W	1308	699	p5230	180	<=250
chr4	430926	431107	Convergent	YDL013W	YDL012C	1860	410	p900	181	<=250
chr7	73158	73339	Divergent	YGL226C-A	YGL226W	410	372	p1884	181	<=250
chr7	175345	175526	Convergent	YGL174W	YGL173C	801	4587	p1933	181	<=250
chr7	220922	221103	Convergent	YGL151W	YGL150C	3399	4470	p1953	181	<=250
chr9	274926	275107	Codirectional-	YIL043C	YIL042C	855	1185	p2803	181	<=250
chr10	314872	315053	Codirectional-	YJL066C	YJL065C	759	504	p3039	181	<=250
chr15	139045	139226	Codirectional-	YOL096C	YOL095C	939	2121	p5026	181	<=250
chr15	636757	636938	Convergent	YOR160W	YOR161C	2919	1620	p5277	181	<=250
chr2	47180	47362	Codirectional-	YBL091C-A	YBL091C	616	1266	p123	182	<=250
chr4	1170143	1170325	Convergent	YDR347W	YDR348C	966	1500	p1255	182	<=250
chr6	79161	79343	Codirectional-	YFL029C	YFL028C	1107	870	p1759	182	<=250
chr9	144085	144267	Codirectional+	YIL116W	YIL115W-A	1158	372	p2732	182	<=250
chr10	575171	575353	Convergent	YJR075W	YJR076C	1191	1248	p3166	182	<=250
chr11	525074	525256	Divergent	YKR046C	YKR047W	852	306	p3510	182	<=250
chr12	815627	815809	Codirectional+	YLR342W	YLR342W-A	5631	174	p3970	182	<=250
chr14	669591	669773	Convergent	YNR021W	YNR022C	1215	420	p4897	182	<=250
chr15	827869	828051	Convergent	YOR269W	YOR270C	1485	2523	p5379	182	<=250
chr4	780206	780389	Convergent	YDR161W	YDR162C	1164	711	p1067	183	<=250
chr4	810381	810564	Convergent	YDR172W	YDR173C	2058	1068	p1080	183	<=250
chr12	167136	167319	Convergent	YLR009W	YLR010C	600	483	p3641	183	<=250
chr13	560812	560995	Codirectional+	YMR148W	YMR149W	447	861	p4370	183	<=250
chr13	802704	802887	Convergent	YMR267W	YMR268C	933	1335	p4495	183	<=250
chr15	944357	944540	Convergent	YOR332W	YOR333C	702	417	p5441	183	<=250
chr2	209224	209408	Codirectional+	YBL009W	YBL008W-A	2031	240	p202	184	<=250
chr2	742576	742760	Codirectional-	YBR269C	YBR270C	417	1638	p484	184	<=250
chr3	207950	208134	Codirectional-	YCR044C	YCR045C	1074	1476	p623	184	<=250
chr4	1042961	1043145	Convergent	YDR291W	YDR292C	3234	1866	p1197	184	<=250
chr7	91247	91431	Divergent	YGL213C	YGL212W	1194	951	p1895	184	<=250
chr7	522076	522260	Divergent	YGR015C	YGR016W	987	573	p2108	184	<=250
chr11	273209	273393	Codirectional+	YKL090W	YKL089W	1332	1650	p3377	184	<=250
chr12	714904	715088	Divergent	YLR288C	YLR289W	1425	1938	p3922	184	<=250
chr13	144954	145138	Convergent	YML065W	YML064C	2745	738	p4155	184	<=250
chr13	337603	337787	Codirectional+	YMR030W-A	YMR033W	291	1490	p4254	184	<=250
chr13	690510	690694	Convergent	YMR211W	YMR212C	1428	2349	p4437	184	<=250
chr16	151330	151514	Convergent	YPL213W	YPL212C	717	1635	p5571	184	<=250
chr16	657344	657528	Codirectional+	YPR046W	YPR047W	546	1410	p5823	184	<=250
chr16	912479	912663	Divergent	YPR188C	YPR189W	492	4299	p5957	184	<=250
chr2	382674	382859	Convergent	YBR072W	YBR072C-A	645	162	p285	185	<=250
chr2	732453	732638	Convergent	YBR259W	YBR260C	2067	2001	p475	185	<=250
chr3	44437	44622	Codirectional-	YCL047C	YCL045C	777	2283	p539	185	<=250
chr4	954947	955132	Codirectional+	YDR246W	YDR246W-A	660	201	p1152	185	<=250
chr10	50443	50628	Codirectional-	YJL205C	YJL204C	305	2523	p2911	185	<=250
chr11	42237	42422	Convergent	YKL210W	YKL209C	3075	3873	p3264	185	<=250
chr13	264355	264540	Codirectional+	YML003W	YML002W	873	2214	p4217	185	<=250
chr14	215801	215986	Convergent	YNL232W	YNL231C	879	1056	p4658	185	<=250
chr15	280086	280271	Convergent	YOL023W	YOL022C	2031	1227	p5097	185	<=250
chr4	540414	540600	Convergent	YDR041W	YDR042C	612	603	p955	186	<=250
chr4	1112293	1112479	Codirectional-	YDR322C-A	YDR323C	291	1548	p1231	186	<=250
chr4	1295411	1295597	Codirectional-	YDR413C	YDR414C	576	1089	p1321	186	<=250
chr8	192618	192804	Convergent	YHR042W	YHR043C	2076	741	p2481	186	<=250
chr8	326626	326812	Convergent	YHR106W	YHR107C	1029	1224	p2551	186	<=250
chr10	269815	270001	Convergent	YJL088W	YJL087C	1017	2484	p3020	186	<=250
chr10	391646	391832	Convergent	YJL028W	YJL027C	336	417	p3077	186	<=250
chr12	836163	836349	Convergent	YLR353W	YLR354C	1812	1008	p3981	186	<=250
chr12	849679	849865	Divergent	YLR361C-A	YLR362W	297	2154	p3988	186	<=250
chr14	245430	245616	Codirectional+	YNL215W	YNL214W	963	600	p4673	186	<=250
chr1	137510	137697	Convergent	YAL008W	YAL007C	597	648	p65	187	<=250
chr2	391617	391804	Codirectional-	YBR076C-A	YBR077C	267	489	p290	187	<=250
chr2	541021	541208	Convergent	YBR149W	YBR150C	1035	3285	p362	187	<=250
chr5	360314	360501	Convergent	YER100W	YER101C	753	1293	p1629	187	<=250
chr7	149516	149703	Codirectional-	YGL188C	YGL187C	174	468	p1921	187	<=250
chr7	360100	360287	Convergent	YGL079W	YGL078C	657	1572	p2021	187	<=250
chr8	325410	325597	Codirectional+	YHR105W	YHR106W	645	1029	p2550	187	<=250
chr9	180239	180426	Divergent	YIL098C	YIL097W	468	1551	p2751	187	<=250
chr12	626930	627117	Divergent	YLR245C	YLR246W	429	1080	p3880	187	<=250
chr13	11295	11482	Convergent	YML131W	YML130C	1098	1692	p4090	187	<=250
chr14	556832	557019	Codirectional+	YNL039W	YNL038W	1785	764	p4839	187	<=250
chr16	126446	126633	Convergent	YPL225W	YPL224C	441	1455	p5559	187	<=250
chr16	911800	911987	Convergent	YPR187W	YPR188C	544	492	p5956	187	<=250
chr1	135665	135853	Divergent	YAL010C	YAL009W	1482	780	p63	188	<=250
chr1	153876	154064	Convergent	YAR002W	YAR002C-A	1620	660	p71	188	<=250
chr2	598934	599122	Convergent	YBR184W	YBR185C	1572	837	p397	188	<=250
chr4	1072557	1072745	Codirectional-	YDR304C	YDR305C	678	743	p1210	188	<=250
chr10	315570	315758	Convergent	YJL064W	YJL063C	396	717	p3040	188	<=250
chr12	929600	929788	Codirectional+	YLR404W	YLR405W	858	1104	p4028	188	<=250
chr14	157455	157643	Codirectional-	YNL260C	YNL259C	597	222	p4632	188	<=250
chr2	735530	735719	Codirectional-	YBR261C	YBR262C	699	321	p477	189	<=250
chr2	762594	762783	Convergent	YBR279W	YBR280C	1338	1914	p493	189	<=250
chr4	118517	118706	Convergent	YDL191W	YDL190C	854	2886	p736	189	<=250
chr4	1133070	1133259	Convergent	YDR332W	YDR333C	2070	2172	p1240	189	<=250
chr5	502894	503083	Codirectional-	YER162C	YER163C	2265	699	p1690	189	<=250
chr6	43438	43627	Convergent	YFL046W	YFL045C	624	765	p1742	189	<=250
chr7	141726	141915	Codirectional-	YGL194C	YGL193C	1359	312	p1914	189	<=250
chr7	459664	459853	Divergent	YGL018C	YGL017W	555	1512	p2075	189	<=250
chr9	423619	423808	Convergent	YIR037W	YIR038C	492	705	p2888	189	<=250
chr10	53151	53340	Divergent	YJL204C	YJL203W	2523	843	p2912	189	<=250
chr11	481981	482170	Convergent	YKR021W	YKR022C	2748	969	p3487	189	<=250
chr11	526640	526829	Codirectional-	YKR048C	YKR049C	1254	402	p3511	189	<=250
chr13	94241	94430	Convergent	YML088W	YML087C	2007	939	p4132	189	<=250
chr13	721403	721592	Codirectional-	YMR225C	YMR226C	444	804	p4451	189	<=250
chr4	618306	618496	Codirectional-	YDR087C	YDR088C	837	1149	p1000	190	<=250
chr8	483837	484027	Divergent	YHR188C	YHR189W	1833	573	p2638	190	<=250
chr10	566828	567018	Convergent	YJR066W	YJR067C	7413	426	p3158	190	<=250
chr10	572124	572314	Codirectional-	YJR072C	YJR073C	1158	621	p3163	190	<=250
chr11	276998	277188	Convergent	YKL088W	YKL087C	1716	675	p3379	190	<=250
chr12	384534	384724	Codirectional-	YLR117C	YLR118C	2064	684	p3747	190	<=250
chr4	1259709	1259900	Codirectional+	YDR392W	YDR393W	1014	1371	p1303	191	<=250
chr5	189311	189502	Convergent	YER016W	YER017C	1035	2286	p1534	191	<=250
chr7	846741	846932	Convergent	YGR174W-A	YGR175C	87	1491	p2269	191	<=250
chr10	696949	697140	Codirectional+	YJR141W	YJR142W	1044	1029	p3228	191	<=250
chr12	177416	177607	Divergent	YLR016C	YLR017W	615	1014	p3648	191	<=250
chr12	520351	520542	Convergent	YLR182W	YLR183C	2412	1470	p3823	191	<=250
chr12	873554	873745	Codirectional-	YLR376C	YLR377C	729	1047	p4002	191	<=250
chr13	544963	545154	Divergent	YMR137C	YMR138W	1986	576	p4359	191	<=250
chr15	85264	85455	Convergent	YOL125W	YOL124C	1431	1302	p4996	191	<=250
chr15	877038	877229	Convergent	YOR298W	YOR298C-A	1440	456	p5407	191	<=250
chr15	904568	904759	Codirectional+	YOR314W-A	YOR315W	111	1041	p5424	191	<=250
chr16	366735	366926	Divergent	YPL096C-A	YPL096W	207	1092	p5684	191	<=250
chr1	36303	36495	Convergent	YAL060W	YAL059C-A	1149	423	p14	192	<=250
chr2	111244	111436	Codirectional+	YBL059W	YBL058W	651	1272	p152	192	<=250
chr2	724263	724455	Divergent	YBR254C	YBR255W	528	2085	p469	192	<=250
chr2	734639	734831	Codirectional-	YBR260C	YBR261C	2001	699	p476	192	<=250
chr3	250045	250237	Codirectional-	YCR076C	YCR077C	753	2391	p648	192	<=250
chr10	676778	676970	Divergent	YJR135C	YJR135W-A	720	264	p3221	192	<=250
chr12	391407	391599	Divergent	YLR123C	YLR124W	330	345	p3752	192	<=250
chr12	861525	861717	Convergent	YLR369W	YLR370C	1974	537	p3996	192	<=250
chr13	327289	327481	Codirectional+	YMR027W	YMR028W	1413	1101	p4248	192	<=250
chr13	715445	715637	Codirectional-	YMR221C	YMR222C	1515	672	p4447	192	<=250
chr14	108274	108466	Codirectional+	YNL282W	YNL281W	588	462	p4611	192	<=250
chr15	868147	868339	Divergent	YOR293C-A	YOR294W	150	612	p5402	192	<=250
chr3	64481	64674	Convergent	YCL032W	YCL031C	1041	894	p550	193	<=250
chr4	603399	603592	Convergent	YDR079W	YDR079C-A	336	219	p991	193	<=250
chr6	229186	229379	Divergent	YFR037C	YFR038W	1674	2562	p1829	193	<=250
chr10	411040	411233	Codirectional-	YJL013C	YJL012C	1548	2166	p3087	193	<=250
chr10	570773	570966	Convergent	YJR071W	YJR072C	369	1158	p3162	193	<=250
chr12	650923	651116	Codirectional+	YLR256W	YLR256W-A	4509	1323	p3890	193	<=250
chr13	599158	599351	Codirectional-	YMR168C	YMR169C	1827	1521	p4390	193	<=250
chr16	48802	48995	Convergent	YPL262W	YPL261C	1467	309	p5523	193	<=250
chr1	84474	84668	Divergent	YAL032C	YAL031W-A	1140	309	p41	194	<=250
chr2	46370	46564	Convergent	YBL092W	YBL091C-A	393	616	p122	194	<=250
chr4	602869	603063	Divergent	YDR078C	YDR079W	672	336	p990	194	<=250
chr7	8967	9161	Codirectional+	YGL259W	YGL258W-A	498	234	p1852	194	<=250
chr7	833157	833351	Convergent	YGR167W	YGR168C	702	1131	p2260	194	<=250
chr8	486631	486825	Divergent	YHR191C	YHR192W	402	837	p2641	194	<=250
chr9	244462	244656	Codirectional-	YIL062C	YIL061C	465	903	p2785	194	<=250
chr15	552103	552297	Codirectional-	YOR121C	YOR122C	306	590	p5240	194	<=250
chr15	704224	704418	Codirectional-	YOR192C-C	YOR192C-B	237	5314	p5310	194	<=250
chr15	815720	815914	Convergent	YOR260W	YOR261C	1737	1017	p5371	194	<=250
chr16	320767	320961	Codirectional-	YPL122C	YPL121C	1542	669	p5659	194	<=250
chr4	1354633	1354828	Convergent	YDR446W	YDR447C	909	725	p1348	195	<=250
chr5	146755	146950	Divergent	YEL005C	YEL004W	849	1029	p1514	195	<=250
chr7	22108	22303	Codirectional+	YGL255W	YGL254W	1131	900	p1857	195	<=250
chr10	583537	583732	Divergent	YJR083C	YJR084W	930	1272	p3171	195	<=250
chr13	243029	243224	Divergent	YML015C	YML014W	1041	840	p4204	195	<=250
chr2	48628	48824	Divergent	YBL091C	YBL090W	1266	534	p124	196	<=250
chr4	603811	604007	Divergent	YDR079C-A	YDR080W	219	2979	p992	196	<=250
chr5	147979	148175	Codirectional+	YEL004W	YEL003W	1029	424	p1515	196	<=250
chr5	234740	234936	Codirectional+	YER041W	YER042W	2280	555	p1561	196	<=250
chr6	146934	147130	Divergent	YFL002C	YFL001W	1821	1329	p1787	196	<=250
chr7	341859	342055	Convergent	YGL092W	YGL091C	3954	987	p2008	196	<=250
chr9	98330	98526	Convergent	YIL134W	YIL133C	936	890	p2714	196	<=250
chr10	335701	335897	Codirectional+	YJL054W	YJL053W	1437	1140	p3051	196	<=250
chr13	695153	695349	Codirectional+	YMR213W	YMR214W	1773	1134	p4439	196	<=250
chr13	922444	922640	Divergent	YMR324C	YMR325W	243	375	p4554	196	<=250
chr16	895764	895960	Divergent	YPR179C	YPR180W	1968	1044	p5948	196	<=250
chr3	254173	254370	Codirectional+	YCR079W	YCR081W	1329	4284	p650	197	<=250
chr3	276566	276763	Convergent	YCR091W	YCR092C	2163	3057	p661	197	<=250
chr9	411838	412035	Convergent	YIR029W	YIR030C	1032	735	p2880	197	<=250
chr10	464253	464450	Convergent	YJR015W	YJR016C	1533	1758	p3114	197	<=250
chr12	336033	336230	Convergent	YLR096W	YLR097C	3444	1035	p3726	197	<=250
chr13	85789	85986	Convergent	YML093W	YML092C	2700	753	p4128	197	<=250
chr14	53924	54121	Convergent	YNL309W	YNL308C	1263	1776	p4585	197	<=250
chr16	704656	704853	Divergent	YPR082C	YPR083W	432	1740	p5855	197	<=250
chr16	815536	815733	Convergent	YPR140W	YPR141C	1146	2190	p5908	197	<=250
chr2	491070	491268	Convergent	YBR126W-B	YBR127C	144	1554	p340	198	<=250
chr3	191635	191833	Convergent	YCR034W	YCR035C	1044	1185	p615	198	<=250
chr4	1322006	1322204	Divergent	YDR426C	YDR427W	378	1182	p1332	198	<=250
chr5	120299	120497	Codirectional-	YEL020C	YEL019C	1683	804	p1498	198	<=250
chr5	228252	228450	Divergent	YER038C	YER038W-A	1395	381	p1557	198	<=250
chr7	267524	267722	Convergent	YGL130W	YGL129C	1380	1353	p1972	198	<=250
chr7	575199	575397	Codirectional+	YGR039W	YGR040W	312	1107	p2133	198	<=250
chr10	386149	386347	Codirectional+	YJL033W	YJL032W	2313	315	p3073	198	<=250
chr10	567444	567642	Divergent	YJR067C	YJR068W	426	1062	p3159	198	<=250
chr10	665019	665217	Codirectional-	YJR129C	YJR130C	1020	1920	p3215	198	<=250
chr13	848486	848684	Codirectional+	YMR288W	YMR289W	2916	1125	p4517	198	<=250
chr2	441315	441514	Codirectional+	YBR097W	YBR098W	4365	2076	p312	199	<=250
chr4	1147179	1147378	Convergent	YDR337W	YDR338C	861	2088	p1245	199	<=250
chr4	1325301	1325500	Codirectional-	YDR429C	YDR430C	825	2970	p1335	199	<=250
chr13	161994	162193	Convergent	YML057W	YML056C	1815	1983	p4164	199	<=250
chr13	741312	741511	Convergent	YMR234W	YMR235C	1047	1224	p4461	199	<=250
chr13	758317	758516	Convergent	YMR244W	YMR244C-A	1068	315	p4472	199	<=250
chr1	94486	94686	Codirectional+	YAL028W	YAL027W	1587	786	p45	200	<=250
chr2	24745	24945	Convergent	YBL102W	YBL101C	648	3354	p113	200	<=250
chr5	200875	201075	Codirectional+	YER022W	YER023W	2064	861	p1541	200	<=250
chr5	457605	457805	Convergent	YER143W	YER144C	1287	2418	p1672	200	<=250
chr7	93591	93791	Codirectional+	YGL211W	YGL210W	1080	669	p1897	200	<=250
chr8	314673	314873	Codirectional-	YHR100C	YHR101C	558	1095	p2545	200	<=250
chr12	1023988	1024188	Divergent	YLR444C	YLR445W	303	649	p4068	200	<=250
chr14	22633	22833	Codirectional-	YNL329C	YNL328C	3093	441	p4567	200	<=250
chr14	490116	490316	Codirectional+	YNL073W	YNL072W	1731	924	p4804	200	<=250
chr1	192417	192618	Divergent	YAR035C-A	YAR042W	81	3567	p89	201	<=250
chr3	122328	122529	Codirectional-	YCR005C	YCR006C	1383	474	p582	201	<=250
chr4	338070	338271	Convergent	YDL064W	YDL063C	584	1863	p857	201	<=250
chr4	859144	859345	Codirectional+	YDR204W	YDR205W	1008	2175	p1111	201	<=250
chr4	1217580	1217781	Codirectional-	YDR369C	YDR370C	2565	1329	p1277	201	<=250
chr4	1474772	1474973	Convergent	YDR515W	YDR516C	1344	1503	p1411	201	<=250
chr7	72547	72748	Convergent	YGL227W	YGL226C-A	2877	410	p1883	201	<=250
chr11	511797	511998	Codirectional-	YKR037C	YKR038C	888	1161	p3502	201	<=250
chr12	265254	265455	Codirectional+	YLR063W	YLR064W	1098	822	p3694	201	<=250
chr13	245914	246115	Divergent	YML012C-A	YML012W	378	636	p4206	201	<=250
chr13	577516	577717	Codirectional+	YMR160W	YMR161W	2451	675	p4382	201	<=250
chr14	631061	631262	Divergent	YNR001C	YNR001W-A	1440	219	p4877	201	<=250
chr16	327662	327863	Convergent	YPL118W	YPL117C	1035	867	p5664	201	<=250
chr4	30454	30656	Divergent	YDL238C	YDL237W	1470	1173	p691	202	<=250
chr4	853972	854174	Divergent	YDR198C	YDR199W	1440	366	p1107	202	<=250
chr6	238255	238457	Divergent	YFR041C	YFR042W	888	603	p1833	202	<=250
chr10	644101	644303	Codirectional-	YJR118C	YJR119C	612	2187	p3205	202	<=250
chr12	263954	264156	Divergent	YLR062C	YLR063W	378	1098	p3693	202	<=250
chr13	658342	658544	Convergent	YMR196W	YMR197C	3267	654	p4422	202	<=250
chr15	803464	803666	Divergent	YOR251C	YOR252W	915	537	p5362	202	<=250
chr16	665490	665692	Convergent	YPR051W	YPR052C	531	282	p5827	202	<=250
chr16	684353	684555	Codirectional-	YPR068C	YPR069C	1413	882	p5842	202	<=250
chr2	449463	449666	Divergent	YBR103C-A	YBR104W	144	990	p317	203	<=250
chr2	779463	779666	Divergent	YBR288C	YBR289W	1452	2718	p502	203	<=250
chr4	1191732	1191935	Convergent	YDR358W	YDR359C	1674	2949	p1265	203	<=250
chr10	49935	50138	Codirectional-	YJL206C	YJL205C	2277	305	p2910	203	<=250
chr11	598890	599093	Codirectional-	YKR084C	YKR085C	1836	588	p3547	203	<=250
chr12	157730	157933	Codirectional-	YLR003C	YLR004C	876	1572	p3635	203	<=250
chr12	956710	956913	Convergent	YLR417W	YLR418C	1701	1182	p4043	203	<=250
chr13	572044	572247	Divergent	YMR157C	YMR158W	768	468	p4378	203	<=250
chr15	145130	145333	Codirectional+	YOL092W	YOL091W	927	1830	p5030	203	<=250
chr15	185644	185847	Convergent	YOL077W-A	YOL077C	207	876	p5045	203	<=250
chr2	413981	414185	Convergent	YBR084W	YBR084C-A	2928	1076	p298	204	<=250
chr2	610409	610613	Convergent	YBR194W	YBR195C	372	1269	p407	204	<=250
chr7	346201	346405	Convergent	YGL088W	YGL087C	366	499	p2012	204	<=250
chr10	262552	262756	Codirectional-	YJL091C	YJL090C	1473	2295	p3017	204	<=250
chr10	469579	469783	Divergent	YJR021C	YJR022W	1025	330	p3118	204	<=250
chr15	370319	370523	Convergent	YOR019W	YOR020C	2193	321	p5143	204	<=250
chr15	538454	538658	Convergent	YOR114W	YOR115C	885	807	p5234	204	<=250
chr16	731019	731223	Convergent	YPR101W	YPR102C	528	525	p5870	204	<=250
chr1	52595	52800	Codirectional-	YAL049C	YAL048C	741	1989	p22	205	<=250
chr4	1469811	1470016	Divergent	YDR510C-A	YDR511W	117	402	p1407	205	<=250
chr6	80213	80418	Codirectional-	YFL028C	YFL027C	870	1494	p1760	205	<=250
chr7	173079	173284	Codirectional-	YGL176C	YGL175C	1665	1038	p1931	205	<=250
chr7	395829	396034	Codirectional-	YGL057C	YGL056C	864	1584	p2040	205	<=250
chr8	70070	70275	Codirectional+	YHL018W	YHL017W	363	1599	p2415	205	<=250
chr8	538945	539150	Codirectional+	YHR212W-A	YHR213W	204	597	p2664	205	<=250
chr10	41183	41388	Codirectional-	YJL208C	YJL207C	990	6045	p2908	205	<=250
chr10	159417	159622	Convergent	YJL134W	YJL133C-A	1230	225	p2974	205	<=250
chr12	204785	204990	Codirectional+	YLR031W	YLR032W	561	3510	p3663	205	<=250
chr14	126599	126804	Convergent	YNL273W	YNL272C	3717	2280	p4620	205	<=250
chr15	503346	503551	Convergent	YOR094W	YOR095C	552	777	p5216	205	<=250
chr16	887837	888042	Codirectional-	YPR173C	YPR174C	1314	666	p5943	205	<=250
chr2	782384	782590	Codirectional+	YBR289W	YBR290W	2718	966	p503	206	<=250
chr4	527215	527421	Convergent	YDR037W	YDR038C	1776	3276	p951	206	<=250
chr5	316600	316806	Codirectional-	YER077C	YER078C	2067	1536	p1603	206	<=250
chr5	549517	549723	Convergent	YER179W	YER180C	1097	804	p1708	206	<=250
chr7	344584	344790	Convergent	YGL090W	YGL089C	1266	363	p2010	206	<=250
chr7	834482	834688	Codirectional-	YGR168C	YGR169C	1131	1215	p2261	206	<=250
chr9	157178	157384	Convergent	YIL110W	YIL109C	1134	2781	p2738	206	<=250
